endTime,artistName,trackName,msPlayed
2022-12-24 9:52,The Weeknd,Out of Time,76822
2023-01-03 1:36,Trippie Redd,Abandoned,70901
2023-01-03 1:36,Tory Lanez,Solar Drive @ Night,5952
2023-01-03 1:37,RAYE,Escapism.,73088
2023-01-03 1:40,SZA,F2F,180954
2023-01-03 1:42,Smooky MarGielaa,Mamacita (feat. A$AP Rocky),14549
2023-01-03 1:42,Metro Boomin,Around Me (feat. Don Toliver),13461
2023-01-03 1:42,SZA,Open Arms (feat. Travis Scott),64621
2023-01-03 1:43,SIPHO.,I DON'T GET IT,17440
2023-01-03 1:46,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-03 1:50,Tory Lanez,The Color Violet,226466
2023-01-03 1:53,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],206769
2023-01-03 1:56,21 Savage,Glock In My Lap,193591
2023-01-03 1:59,Pharrell Williams,Down In Atlanta,164041
2023-01-03 2:02,Kodak Black,Super Gremlin,200547
2023-01-03 2:06,Metro Boomin,Space Cadet (feat. Gunna),203266
2023-01-03 2:09,Rich Brian,VIVID,193120
2023-01-03 2:12,Offset,Ric Flair Drip (with Metro Boomin),172800
2023-01-03 2:14,Jasiah,Shenanigans (feat. Yung Bans),138243
2023-01-03 2:16,Metro Boomin,Around Me (feat. Don Toliver),4629
2023-01-03 2:16,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),160106
2023-01-03 2:19,Metro Boomin,On Time (with John Legend),168920
2023-01-03 2:22,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],182666
2023-01-03 2:26,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),199920
2023-01-03 2:29,Metro Boomin,Raindrops (Insane) [with Travis Scott],188586
2023-01-03 2:33,Metro Boomin,Umbrella (with 21 Savage & Young Nudy),222000
2023-01-03 2:36,Metro Boomin,Trance (with Travis Scott & Young Thug),194786
2023-01-04 6:49,Metro Boomin,Around Me (feat. Don Toliver),32298
2023-01-04 21:29,Wacotron,Cut Me Up,5504
2023-01-04 21:31,070 Shake,Web,126151
2023-01-04 21:34,070 Shake,Invited,161885
2023-01-04 21:39,070 Shake,History,290622
2023-01-06 6:05,070 Shake,Medicine,77322
2023-01-06 6:09,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-06 6:13,The Weeknd,I Was Never There,241066
2023-01-06 6:45,The Weeknd,Save Your Tears,103144
2023-01-06 6:49,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-06 6:52,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-07 18:11,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),77166
2023-01-07 18:14,070 Shake,Web,126151
2023-01-07 18:16,070 Shake,Invited,161885
2023-01-07 18:21,070 Shake,History,290622
2023-01-07 18:24,070 Shake,Medicine,195470
2023-01-07 18:28,070 Shake,Skin and Bones,214157
2023-01-07 19:29,070 Shake,Blue Velvet,276362
2023-01-07 19:32,070 Shake,Cocoon,201004
2023-01-07 19:35,070 Shake,Body,210475
2023-01-07 19:39,070 Shake,Wine & Spirits,195533
2023-01-07 19:44,070 Shake,Come Back Home,301741
2023-01-07 19:47,070 Shake,Vibrations,221051
2023-01-07 19:50,070 Shake,Purple Walls,169800
2023-01-07 19:53,070 Shake,Stay,162514
2023-01-07 19:56,070 Shake,Se Fue La Luz,205653
2023-01-07 20:00,The Weeknd,Gasoline,212165
2023-01-07 20:01,Vince Staples,THE BEACH,67209
2023-01-07 20:04,BLK ODYSSY,COMPLEX OF KILLING A MAN,189974
2023-01-07 20:08,070 Shake,Guilty Conscience,213333
2023-01-07 20:11,070 Beheard,Life Is What You Make It (feat. 070 Shake),190955
2023-01-07 20:13,Lil Cobaine,Monday Magic,146128
2023-01-07 20:16,¿Téo?,In Your Body,203777
2023-01-07 20:18,BROCKHAMPTON,Any Way You Want Me,91080
2023-01-07 20:22,BLK ODYSSY,BENNY'S GOT A GUN,232150
2023-01-07 20:24,Omar Apollo,Archetype,168828
2023-01-07 20:26,Yves Tumor,Romanticist,106102
2023-01-08 5:34,Johan Lenox,You Up?,172649
2023-01-08 5:36,070 Shake,Web,126151
2023-01-08 5:41,070 Shake,Invited,161885
2023-01-08 6:33,070 Shake,History,290622
2023-01-08 6:36,070 Shake,Medicine,195470
2023-01-08 6:40,070 Shake,Skin and Bones,214157
2023-01-08 6:44,070 Shake,Blue Velvet,276362
2023-01-08 6:48,070 Shake,Cocoon,201004
2023-01-08 6:51,070 Shake,Body,210475
2023-01-08 6:54,070 Shake,Wine & Spirits,195533
2023-01-08 7:00,070 Shake,Come Back Home,301741
2023-01-08 7:03,070 Shake,Vibrations,221051
2023-01-08 7:06,070 Shake,Purple Walls,169800
2023-01-08 7:09,070 Shake,Stay,162514
2023-01-08 7:12,070 Shake,Se Fue La Luz,205653
2023-01-08 16:30,070 Shake,Web,76162
2023-01-08 16:34,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-08 16:36,070 Shake,Web,126151
2023-01-08 16:39,070 Shake,Invited,161885
2023-01-08 16:44,070 Shake,History,290622
2023-01-08 16:47,070 Shake,Medicine,195470
2023-01-08 16:50,070 Shake,Skin and Bones,214157
2023-01-08 16:55,070 Shake,Blue Velvet,276362
2023-01-08 16:58,070 Shake,Cocoon,201004
2023-01-08 17:02,070 Shake,Body,210475
2023-01-08 17:05,070 Shake,Wine & Spirits,195533
2023-01-08 17:10,070 Shake,Come Back Home,301741
2023-01-08 17:14,070 Shake,Vibrations,221051
2023-01-08 17:17,070 Shake,Purple Walls,169800
2023-01-08 17:19,070 Shake,Stay,162514
2023-01-08 17:23,070 Shake,Se Fue La Luz,205653
2023-01-08 17:26,The Weeknd,Gasoline,212165
2023-01-08 17:27,BLK ODYSSY,COMPLEX OF KILLING A MAN,17925
2023-01-08 17:27,Lil Cobaine,X & O,24070
2023-01-08 17:27,¿Téo?,In Your Body,835
2023-01-08 17:29,Yves Tumor,Romanticist,106102
2023-01-08 17:30,Vince Staples,THE BEACH,67209
2023-01-08 17:39,The Weeknd,Starry Eyes - MIKE DEAN Remix,184018
2023-01-08 18:59,070 Shake,Don't Break The Silence,104573
2023-01-08 19:00,070 Shake,Come Around,96026
2023-01-08 19:05,070 Shake,Morrow,246626
2023-01-08 19:08,070 Shake,The Pines,213613
2023-01-08 19:12,070 Shake,Guilty Conscience,213333
2023-01-08 19:16,The Ebonys,It's Forever - Interlude,17040
2023-01-08 19:16,070 Shake,Divorce,219386
2023-01-08 19:19,070 Shake,Rocketship,184466
2023-01-08 19:23,070 Shake,Microdosing,219093
2023-01-08 19:27,070 Shake,Nice To Have,232453
2023-01-08 19:30,070 Shake,Under The Moon,207213
2023-01-08 19:33,070 Shake,Daydreamin,168000
2023-01-08 19:34,070 Shake,Terminal B,31290
2023-01-08 19:37,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-08 19:41,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-08 19:44,Metro Boomin,Raindrops (Insane) [with Travis Scott],188586
2023-01-08 19:48,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000
2023-01-08 19:51,Tory Lanez,The Color Violet,226466
2023-01-08 19:55,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),229573
2023-01-08 19:56,Masego,You Never Visit Me - Single Version,32748
2023-01-08 19:56,MO3,They Don't Know,1857
2023-01-08 19:59,Royal Blood,Trouble’s Coming,167996
2023-01-08 20:02,Metro Boomin,Around Me (feat. Don Toliver),191520
2023-01-08 20:06,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520
2023-01-08 20:09,Metro Boomin,Raindrops (Insane) [with Travis Scott],188586
